FECHA_CORTE;UUID;FACULTAD;ESPECIALIDAD;MODALIDAD;NIVEL_ACADEMICO;ANNIO_POSTULACION;DERPARTAMENTO;PROVINCIA;DISTRITO;DEPARTAMENTO_ORIGEN;PROVINCIA_ORIGEN;DISTRITO_ORIGEN;COLEGIO;SEXO;DISCAPACIDAD;ETNIA
20240626;3369c96729fb47e0e574cee934d6fc59;FACULTAD DE CIENCIAS EMPRESARIALES;P. Gastronomía;Prueba General de Admisión;PREGRADO;2022-2;LIMA           ;LIMA                                    ;PACHACAMAC                                                  ;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;6028 JUAN VELASCO ALVARADO;M;TRASTORNO POR DÉFICIT DE ATENCIÓN CON HIPERACTIVIDAD;MESTIZO
20240626;00510d99580a567d90d6b665aca9158b;FACULTAD DE EDUCACIÓN INICIAL;P.E.E. Educación Inicial - Niñez Temprana;Prueba General de Admisión;PREGRADO;2022-2;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;1190 FELIPE HUAMAN POMA DE AYALA;F;OTROS;OTROS
20240626;bbf7eb1576d5e8c2d8bdd44e3fd97f97;FACULTAD DE CIENCIAS;P.E.E. Informática;Prueba General de Admisión;PREGRADO;2022-2;LIMA           ;LIMA                                    ;SAN JUAN DE MIRAFLORES                                      ;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;6051 MERCEDES INDACOCHEA;M;DISCAPACIDAD VISUAL;OTROS
20240626;725bb0516130f25f7065e9992cbb998e;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Primaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;AYACUCHO       ;LUCANAS                                 ;PUQUIO                                                      ;LIMA           ;LIMA                                    ;SANTA ANITA                                                 ;;F;NINGUNA;QUECHUA
20240626;a5259d0fec9084603051dac18c576f44;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Primaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;AYACUCHO       ;VICTOR FAJARDO                          ;HUANCARAYLLA                                                ;LIMA           ;LIMA                                    ;SAN JUAN DE MIRAFLORES                                      ;;M;NINGUNA;MESTIZO
20240626;1bd61c42558b7145563045e17823943d;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;P.E.E.Educación Primaria -Educ.Básica Alternativa;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;SANTA ANITA                                                 ;LIMA           ;LIMA                                    ;SANTA ANITA                                                 ;1219 JOSE CARLOS MARIATEGUI;F;NINGUNA;MESTIZO
20240626;d94d3a5e3a7ef30cbd80d1f5ec61f71a;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Problemas de Aprendizaje;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;ATE                                                         ;;M;NINGUNA;MESTIZO
20240626;ed3a0ed5f2608f594b1f18d63bb2d34c;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Básica Alternativa;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;AMAZONAS       ;UTCUBAMBA                               ;LONYA GRANDE                                                ;LIMA           ;LIMA                                    ;JESUS MARIA                                                 ;;M;NINGUNA;MESTIZO
20240626;9eda6392bf9c1427119d094153fef0a6;FACULTAD DE AGROPECUARIA Y NUTRICIÓN;P.E.E. Industria Alimentaria y Nutrición;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;LOS OLIVOS                                                  ;SANTO DOMINGO EL PREDICADOR;M;NINGUNA;MESTIZO
20240626;287ecc20b731e11bbdc04aedef77a65f;FACULTAD DE CIENCIAS EMPRESARIALES;P. Administración de Empresas;Prueba General de Admisión;PREGRADO;2023-1;CALLAO         ;CALLAO                                  ;CALLAO                                                      ;CALLAO         ;CALLAO                                  ;CALLAO                                                      ;BELLA UNION;M;NINGUNA;MESTIZO
20240626;8c1388194b62dddc1896719c5d951795;FACULTAD DE EDUCACIÓN INICIAL;SEP - Educación Inicial;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;LA VICTORIA                                                 ;LIMA           ;LIMA                                    ;LOS OLIVOS                                                  ;;F;NINGUNA;MESTIZO
20240626;9806950b06429f4a7c7ab14b03142cf4;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Básica Alternativa;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;LA VICTORIA                                                 ;LIMA           ;LIMA                                    ;ATE                                                         ;;F;NINGUNA;MESTIZO
